Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer â€“ 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court â€“ 1","If yes, which High Court â€“ 2","If yes, which High Court â€“ 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Kailash Nath Sinha,Male,1945-10-01T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2007-09-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUATED IN ARTS IN THE YEAR 1963 FROM ALLAHABAD UNIVERSITY AND PAASED LLB IN THE YEAR 1965 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,Allahabad University,1965,NA,NA,No,No,No,Allahabad
Jag Mohan Paliwal,Male,1946-01-01T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2007-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,NA,NA,No,No,No,Allahabad
Ram Chandra,Male,1946-01-01T00:00:00Z,Uttar Pradesh,NA,2002-02-14T00:00:00Z,2007-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUATED IN ARTS AND LAW,Gorakhpur University,Arts,GORAKHPUR UNIVERSITY,NA,1973,Uttar Pradesh,No,No,No,Allahabad
Kawaljeet Singh Rakhra,Male,1946-01-21T00:00:00Z,Uttar Pradesh,NA,2002-10-31T00:00:00Z,2008-01-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1964 FROM AGRA UNIVERSITY AND PASSED LLB IN THE YEAR 1967 FROM KANPUR UNIVERSITY,Agra University,SCIENCE,KANPUR UNIVERSITY,1967,NA,NA,No,No,No,Allahabad
Vinod Chandra Misra,Male,1946-01-30T00:00:00Z,Uttar Pradesh,NA,2004-01-07T00:00:00Z,2008-01-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUTED IN ARTS AND LAW 4 MONTHS DIPLOMA HOLDER IN B.M.S,NA,Arts,NA,NA,1972,Uttar Pradesh,No,No,No,Allahabad
Ganga Prasad Srivastava,Male,1946-02-01T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2008-01-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1965 FROM ALLAHABAD UNIVERSITY AND PASSED LLB FROM ALLAHABAD UNIVERSITY IN THE YEAR 1967,Allahabad University,Arts,Allahabad University,1967,NA,NA,No,Yes,No,Allahabad
Shilendra Kulshrestha,Male,1946-05-25T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2008-05-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1965 FROM GORAKHPUR UNIVERSITY AND PASSED LLB IN THE YEAR 1967 FROM GORAKHPUR UNIVERSITY,Gorakhpur University,Arts,GORAKHPUR UNIVERSITY,1967,NA,NA,No,No,No,Allahabad
Allah Raham,Male,1946-07-22T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2008-07-21T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,"GRADUATED IN ARTS IN THE YEAR 1966 , PASSED LLB  IN THE YEAR 1968 AND LLM IN THE 1972",NA,NA,NA,1972,NA,NA,No,No,Yes,Allahabad
Muneendra Kumar Mittal,Male,1946-07-27T00:00:00Z,Uttar Pradesh,NA,2007-07-05T00:00:00Z,2022-09-12T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,2019-03-15T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,POST GRADUATED IN ARTS IN THE YEAR 1966  AND PASSED LLB IN THE YEAR 1968,NA,Arts,NA,1968,1983,NA,No,Yes,No,Allahabad
Anjani Kumar,Male,1946-09-14T00:00:00Z,Uttar Pradesh,NA,2001-04-24T00:00:00Z,2008-09-13T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,GRADUATED ARTSIN 1966 AND PASSED LLB IN 1968 FROM ALLAHABAD UNIVERSITY WITH L.S.G.D,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,1968,Uttar Pradesh,No,No,No,Allahabad
Kailash Nath Ojha,Male,1946-10-03T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2008-10-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUTED IN ARTS IN THE YEAR 1965 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1967 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1967,NA,NA,No,No,No,Allahabad
Mithlesh Chaudhary,Male,1946-10-06T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2008-10-05T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS FROM AGRA UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM ALIGARH UNIVERSITY,Agra University,Arts,ALIGARH UNIVERSITY,1968,NA,NA,No,Yes,No,Allahabad
Barkat Zaidi,Male,1947-02-10T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2009-02-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1969 AND LLB INTHE YEAR 1971,NA,NA,NA,1971,NA,NA,No,Yes,No,Allahabad
Shiv Shanker,Male,1947-03-04T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2009-03-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN COMMERCE IN THE YEAR 1968 AND LAW IN THE YEAR 1972,NA,Commerce,NA,1972,NA,NA,No,No,No,Allahabad
Amar Nath Varma,Male,1947-04-07T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2009-04-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,GRADUATED IN THE YEAR 1972FROM LUCKNOW UNIVERSITY AND PASSED LLB IN THE YEAR 1975 FROM LUCKNOW UNIVERSITY,Lucknow University,NA,Lucknow University,1975,1975,Uttar Pradesh,No,No,No,Allahabad
Shiv Charan (Sharma),Male,1947-06-20T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2009-06-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN THE YEAR 1965 AND PASSED LLB IN THE YEAR 1969,NA,NA,NA,1969,NA,NA,No,No,No,Allahabad
Raghunath Kishore Rastogi,Male,1947-07-11T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2009-07-10T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1964 FROM LUCKNOW UNIVERSITY AND PASSED LLB IN THE YEAR 1966 FROM LUCKNOW UNIVERSITY,Lucknow University,Arts,LUCKNOW UNIVERSITY,1966,NA,NA,No,No,No,Allahabad
Ravindra Nath Misra,Male,1947-07-17T00:00:00Z,Uttar Pradesh,NA,2006-01-16T00:00:00Z,2009-07-16T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN AGRICULTURE IN THE YEAR 1967 AND PASSED LLB IN THE YEAR 1970,NA,AGRICULTURE,NA,1970,NA,NA,No,No,No,Allahabad
Udai Dhaon,Male,1947-07-20T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2009-07-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1972,Uttar Pradesh,No,No,No,Allahabad
Vishwa Chaturvedi,Male,1947-09-01T00:00:00Z,Uttar Pradesh,NA,2006-01-16T00:00:00Z,2009-08-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATEDIN THE YEAR 1971 AND PASSED LLB IN THE YEAR 1972,NA,NA,NA,1972,NA,NA,No,No,No,Allahabad
Saroj Bala,Male,1947-11-04T00:00:00Z,UTTAR PRADESH,NA,2005-10-20T00:00:00Z,2009-11-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1967 AND PASSED LLB IN THE YEAR,NA,Arts,NA,1969,NA,NA,No,Yes,No,Allahabad
Janardan Sahai,Male,1947-11-16T00:00:00Z,West Bengal,NA,2001-04-24T00:00:00Z,2009-08-26T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED FROM ALLAHABAD UNIVERSITY IN 1967 WITH 1ST DIVISION AND PASSED LL.B FROM SAME UNIVERSITY IN 1970,Allahabad University,NA,ALLAHABAD UNIVERSITY,1970,1970,Uttar Pradesh,No,No,No,Allahabad
Ashish Trivedi,Male,1947-11-24T00:00:00Z,NA,NA,1994-02-01T00:00:00Z,2002-02-18T00:00:00Z,Yes,No,Allahabad,Yes,Patna,1994-02-14T00:00:00Z,Allahabad,1999-12-17T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Lucknow University,Arts,University of Lucknow,1972,1972,Uttar Pradesh,No,No,No,Allahabad
Karuna Kant Misra,Male,1947-12-20T00:00:00Z,Uttar Pradesh,NA,2002-02-14T00:00:00Z,2009-12-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN ARTS,Allahabad University,Arts,GORAKHPUR UNIVERSITY,1971,1975,Uttar Pradesh,No,No,No,Allahabad
Satendra Kumar Jain,Male,1947-12-31T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2009-12-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1969 AND PASSED LLB IN THE YEAR IN  THE YEAR 1972,NA,Arts,NA,1972,NA,NA,No,No,No,Allahabad
Vijay Kumar Verma,Male,1948-03-23T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2010-03-22T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1965  AND PASSED LLB IN THE YEAR 1972,NA,Arts,NA,1972,NA,NA,No,No,No,Allahabad
Alok Kumar Singh,Male,1948-06-24T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2010-06-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,POST GRADUATED IN HISTORY IN THE YEAR AND PASSED LLB IN THE YEAR 1968 FROM ALLAHABAD UNIVERSITY,NA,History,Allahabad university,1968,NA,NA,No,Yes,No,Allahabad
Subhash Chandra Nigam,Male,1948-07-01T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2010-06-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1967 AND PASSED LLB IN THE YEAR 1971,NA,Science,NA,1971,NA,NA,No,No,No,Allahabad
Rakesh Sharma,Male,1948-07-15T00:00:00Z,Uttar Pradesh,NA,2004-01-07T00:00:00Z,2010-07-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUTED IN SCIENCE FROM LUCKNOW UNIVERSITY AND LAW IN THE YEAR 1970 FROM LUCKNOW UNIVERSITY,Lucknow University,Science,LUCKNOW UNIVERSITY,1970,NA,NA,No,No,No,Allahabad
Dharam Veer Sharma,Male,1948-10-02T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2010-10-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1967  AND PASSED LLB IN THE YEAR 1970,NA,Arts,NA,1970,NA,NA,No,No,No,Allahabad
Jagdish Bhalla,Male,1948-11-01T00:00:00Z,NA,NA,1995-04-05T00:00:00Z,2010-11-01T00:00:00Z,No,No,Allahabad,Yes,Chhattisgarh,2007-05-18T00:00:00Z,NA,NA,NA,NA,Yes,Himachal Pradesh,Rajasthan,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,1968,1971,Uttar Pradesh,No,No,No,Allahabad
Ajai Kumar Singh,Male,1948-12-15T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2008-11-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1967 AND PASSED LLB IN THE YEAR 1972,NA,Science,NA,1972,NA,NA,No,No,No,Allahabad
Ashok Kumar Roopanwal,Male,1948-12-24T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2010-12-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1966 AND PASSED LLB IN THE YEAR 1969,NA,SCIENCE,NA,1969,NA,NA,No,No,No,Allahabad
Virendra Singh,Male,1949-01-04T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2011-01-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Meerut University,1972,NA,NA,No,No,No,Allahabad
Raj Mani Chauhan,Male,1949-01-15T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2011-01-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN LAW FROM GORAKHPUR UNIVERSITY IN 1971,NA,NA,GORAKHPUR UNIVERSITY,1971,NA,NA,No,No,No,Allahabad
Ram Autar Singh,Male,1949-01-15T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2011-01-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Yogendra Kumar Sangal,Male,1949-01-25T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2011-01-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Meerut University,1971,NA,NA,No,No,No,Allahabad
Syed Nazim Husain Zaidi,Male,1949-02-02T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2011-02-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN LAW FROM ALIGARH MUSLIM UNIVERSITY IN 1973,Lucknow University,NA,ALIGARH MUSLIM UNIVERSITY,1973,NA,NA,No,No,Yes,Allahabad
Brahma Nand Shukla,Male,1949-05-05T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2011-05-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN LAW FROM GORAKHPUR UNIVERSITY IN 1971,Gorakhpur University,NA,Gorakhpur University,1971,NA,NA,No,No,No,Allahabad
Maithali Saran,Male,1949-06-12T00:00:00Z,NA,NA,1994-09-27T00:00:00Z,2001-06-11T00:00:00Z,No,No,MadhyaPradesh,Yes,AndhraPradesh,1994-10-06T00:00:00Z,Allahabad,1996-04-02T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,Aligarh Muslim University,1960,NA,NA,No,Yes,Yes,Allahabad
Ved Pal,Male,1949-07-02T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2011-07-01T00:00:00Z,NA,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Shishir Kumar,Male,1949-07-30T00:00:00Z,Uttar Pradesh,NA,2004-09-24T00:00:00Z,2011-07-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,POST GRADUTED IN ARTS FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1972 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1972,1973,NA,Yes,Yes,No,Allahabad
Rajesh Chandra,Male,1949-08-28T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2011-08-27T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Agra University,1971,NA,NA,No,No,No,Allahabad
Dantuluri Varma,Male,1949-09-05T00:00:00Z,Andhra Pradesh,NA,1999-05-17T00:00:00Z,2011-09-04T00:00:00Z,No,No,AndhraPradesh,Yes,Allahabad,2010-10-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,Sri Y.N. College,Arts,Andhra University,NA,1974,NA,No,No,Yes,Allahabad
Shri Kant Tripathi,Male,1949-12-15T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2011-12-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,Gorakhpur University,Science,Gorakhpur University,NA,NA,NA,No,No,No,Allahabad
Kashi Nath Pandey,Male,1949-12-20T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2011-12-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Shyam Tiwari,Male,1950-01-15T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2012-01-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad University,1972,NA,NA,No,No,No,Allahabad
Pradeep Kant,Male,1950-02-03T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2012-02-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Lucknow University,NA,Lucknow University,1971,1971,Uttar Pradesh,No,No,No,Allahabad
Poonam Srivastava,Female,1950-04-26T00:00:00Z,Uttar Pradesh,NA,2004-01-07T00:00:00Z,2012-04-25T00:00:00Z,No,No,Allahabad,Yes,Jharkhand,2010-10-27T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUTED IN SCIENCE AND LAWS IN THE YEAR 1970,NA,Science,NA,1970,1972,NA,No,No,No,Allahabad
Ishrat Masroor Quddusi,Male,1950-06-18T00:00:00Z,NA,NA,1995-04-18T00:00:00Z,2012-06-17T00:00:00Z,No,No,Allahabad,Yes,Orissa,2004-12-06T00:00:00Z,Chhattisgarh,2010-03-26T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1976,Uttar Pradesh,No,No,No,Allahabad
Suresh Chaurasia,Male,1950-07-21T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2012-07-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUATED IN LAW IN THE YEAR 1971 AGRA COLLEGE,NA,NA,AGRA COLLEGE,1971,1972,Uttar Pradesh,No,No,No,Allahabad
Syed Alam,Male,1950-08-08T00:00:00Z,Jharkhand,NA,1994-11-08T00:00:00Z,2012-08-07T00:00:00Z,No,No,Patna,Yes,Allahabad,1994-04-28T00:00:00Z,NA,NA,NA,NA,Yes,Madhya Pradesh,Allahabad,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,St. Columbus College Hazaribagh,Arts,Patna Law College,1974,1975,Bihar,No,No,No,Allahabad
Amitava Lala,Male,1950-11-20T00:00:00Z,West Bengal,NA,1997-05-12T00:00:00Z,2012-11-19T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2005-01-07T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN BOTH SCIENCE AND ARTS IN THE YEAR 1968 AND 1973 AND PASSED LLB IN THE YEAR 1974 FROM CALCUTTA UNIVERSITY,Calcutta University,ARTS AND SCIENCE,CALCUTTA UNIVERSITY,1974,1975,West Bengal,No,No,No,Allahabad
Virendra Kumar Dixit,Male,1951-03-12T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2013-03-11T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,Kanpur University,Science,Kanpur University,1973,1973,NA,Yes,No,No,Allahabad
Yogesh Chandra Gupta,Male,1951-07-12T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2013-07-11T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Lucknow University,1973,NA,NA,No,No,No,Allahabad
Surendra Kumar,Male,1951-08-07T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2013-08-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Meerut University,1976,1977,NA,No,No,No,Allahabad
Prakash Krishna,Male,1951-08-13T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2013-08-12T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN SCIENCE IN THE YEAR 1970 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1973 FROM ALLAHABAD UNIVERSITY,Allahabad University,SCIENCE,ALLAHABAD UNIVERSITY,1973,1973,Uttar Pradesh,No,No,No,Allahabad
Subhash Chandra Agarwal,Male,1951-09-05T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2013-09-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Agra University,1972,NA,NA,No,No,No,Allahabad
Vinay Kumar Mathur,Male,1951-09-14T00:00:00Z,NA,NA,2011-09-05T00:00:00Z,2013-09-13T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,NA,NA,No,No,No,Allahabad
