Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Barkat Zaidi,Male,1947-02-10T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2009-02-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1969 AND LLB INTHE YEAR 1971,NA,NA,NA,1971,NA,NA,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Bhagwan Din,Male,1939-12-15T00:00:00Z,NA,NA,1996-11-19T00:00:00Z,2001-12-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,Lucknow University,NA,1965,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Bhanwar Singh,Male,1945-02-01T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2007-01-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,NA,NA,No,No,Yes,Allahabad,Allahabad,NA,NA,NA
Bharat Bhushan,Male,1955-10-04T00:00:00Z,Uttar Pradesh,NA,2013-01-03T00:00:00Z,2017-10-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Bharat Agrawal,Male,1945-02-08T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2007-02-07T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1964 FROM AGRA UNIVERSITY UNIVERSITY AND PASSED LLB IN THE YEAR 1967 FROM AGRA  UNIVERSITY,Agra University,SCIENCE,AGRA UNIVERSITY,1967,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Bharati Sapru,Female,1958-07-29T00:00:00Z,Uttar Pradesh,NA,2005-10-05T00:00:00Z,2020-07-28T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN LAW FROM ALLAHABAD UNIVERSITY,NA,NA,ALLAHABAD UNIVERSITY,NA,1983,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Bhupendra Kumar Rathi,Male,1941-05-25T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2003-05-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Agra University,Science,Agra University,1961,1962,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Biswanath Somadder,Male,1963-12-15T00:00:00Z,Kolkata,NA,2006-06-22T00:00:00Z,2025-12-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2019-10-17T00:00:00Z,NA,NA,NA,NA,Yes,Meghalaya,Sikkim,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Calcutta University,Arts,Calcutta University,NA,1989,West Bengal,No,No,No,Allahabad,Calcutta,Allahabad,NA,NA
Brahma Nand Shukla,Male,1949-05-05T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2011-05-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN LAW FROM GORAKHPUR UNIVERSITY IN 1971,Gorakhpur University,NA,Gorakhpur University,1971,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Brijesh Kumar Sharma,Male,1972-04-01T00:00:00Z,Uttar Pradesh,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Science,NA,1997,NA,NA,NA,NA,NA,Allahabad,NA,NA,NA,NA
Brijesh Kumar Srivastava-II,Male,1953-12-24T00:00:00Z,Uttar Pradesh,NA,2013-01-03T00:00:00Z,2015-12-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Chakravarti Mishra,Male,1944-04-03T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2006-04-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1965 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1965,NA,NA,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Chandra Dhari Singh,Male,1969-07-12T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2031-07-11T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,Yes,No,Yes,No,NA,NA,NA,Delhi University,1993,1994,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Abdur Rahim Choudhary,Male,NA,NA,NA,1994-03-28T00:00:00Z,1997-10-31T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-03-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,Calcutta,Allahabad,NA,NA
D. C. Srivastava,Male,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,NA,NA,NA,NA
Dantuluri Varma,Male,1949-09-05T00:00:00Z,Andhra Pradesh,NA,1999-05-17T00:00:00Z,2011-09-04T00:00:00Z,No,No,Andhra Pradesh,Yes,Allahabad,2010-10-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,Sri Y.N. College,Arts,Andhra University,NA,1974,NA,No,No,Yes,Allahabad,AndhraPradesh,Allahabad,NA,NA
Dasu Ram Azad,Male,1958-12-25T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2010-04-10T00:00:00Z,Yes,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Daya Shankar Tripathi,Male,1957-01-05T00:00:00Z,Uttar Pradesh,NA,2016-11-15T00:00:00Z,2019-01-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad University,1980,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Deepak Verma,Male,1965-03-30T00:00:00Z,Uttar Pradesh,NA,2019-12-12T00:00:00Z,2027-03-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1989,1992,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Dev Kant Trivedi,Male,NA,NA,NA,1997-02-03T00:00:00Z,2001-01-14T00:00:00Z,No,No,Allahabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,Allahabad,NA,NA,NA
Devendra Kumar Arora,Male,1957-06-20T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2019-06-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,Yes,No,No,No,NA,NA,NA,Lucknow University,1982,1983,Uttar Pradesh,No,No,Yes,Allahabad,Allahabad,NA,NA,NA
Devendra Kumar Upadhyaya,Male,1965-06-16T00:00:00Z,Uttar Pradesh,NA,2011-11-21T00:00:00Z,2027-06-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Lucknow University,1991,1991,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Devendra Gupta,Male,1942-09-03T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2004-09-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,POST GRADUTED IN  COMMERCE IN THE YEAR 1963 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY,Allahabad University,COMMERCE,ALLAHABAD UNIVERSITY,1966,1967,Uttar Pradesh,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Devendra Pratap Singh,Male,1952-12-20T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2014-12-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"GRADUATED IN THE YEAR 1972-73FROM ALLLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1976 FROM A.P.S UNIVERSITY ,REWA",Allahabad University,Arts,"A.P.S. University, Rewa",1976,1976,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Devi Prasad Singh,Male,1953-01-20T00:00:00Z,Uttar Pradesh,NA,2003-12-21T00:00:00Z,2015-01-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUTED IN LAW IN THE YEAR 1976 FROM RAM MANOHAR LOHIA  AVADH UNIVERSITY FAIZABAD,Avadh University,NA,Avadh University,1976,1976,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Dhani Ram Chaudhary,Male,1941-07-24T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2003-07-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,Allahabad,NA,NA,NA
Dharam Veer Sharma,Male,1948-10-02T00:00:00Z,Uttar Pradesh,NA,2005-10-20T00:00:00Z,2010-10-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1967  AND PASSED LLB IN THE YEAR 1970,NA,Arts,NA,1970,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Dharnidhar Jha,Male,1953-09-07T00:00:00Z,Bihar,NA,2006-11-06T00:00:00Z,2015-09-06T00:00:00Z,No,No,Patna,Yes,Allahabad,2011-12-09T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Bihar,No,No,No,Allahabad,Patna,Allahabad,NA,NA
Dilip Gupta,Male,1956-06-07T00:00:00Z,Uttar Pradesh,NA,2004-01-07T00:00:00Z,2018-06-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,GRADUATED IN SCIENCE IN THE YEAR 1977  AND LAW IN THE YEAR 1981 FROM ALLAHABAD UNIVERSITY,NA,SCIENCE,ALLAHABAD UNIVERSIRTY,1981,1981,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Dilip Kumar Seth,Male,1943-11-24T00:00:00Z,NA,NA,1994-12-19T00:00:00Z,2005-11-23T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1995-01-09T00:00:00Z,Calcutta,2000-08-04T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Arts,NA,NA,1968,NA,NA,Yes,No,Allahabad,Calcutta,Allahabad,Calcutta,NA
Dinesh Gupta,Male,1953-07-28T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2015-07-27T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,Agra University,1978,1979,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Dinesh Kumar Singh,Male,1966-08-18T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2028-08-17T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1992,1993,Uttar Pradesh,No,No,Yes,Allahabad,Allahabad,NA,NA,NA
Dinesh Kumar Singh I,Male,1959-06-24T00:00:00Z,Uttar Pradesh,NA,2017-07-07T00:00:00Z,2021-06-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Lucknow University,1982,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Dinesh Maheshwari,Male,1958-05-15T00:00:00Z,Rajasthan,NA,2004-09-02T00:00:00Z,2023-05-14T00:00:00Z,No,No,Rajasthan,Yes,Allahabad,2014-07-19T00:00:00Z,NA,NA,NA,NA,Yes,Meghalaya,Karnataka,NA,Yes,2019-01-18T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Maharaja's College, University of Rajasthan, Jaipur",Science  (Physics),Jodhpur University,1980,1981,Rajasthan,No,No,No,Allahabad,Rajasthan,Allahabad,NA,NA
Dinesh Pathak,Male,1972-01-07T00:00:00Z,NA,NA,2019-12-12T00:00:00Z,2034-01-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1994,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Maithali Saran,Male,1949-06-12T00:00:00Z,NA,NA,1994-09-27T00:00:00Z,2001-06-11T00:00:00Z,No,No,Madhya Pradesh,Yes,Andra Pradesh,1994-10-06T00:00:00Z,Allahabad,1996-04-02T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,Aligarh Muslim University,1960,NA,NA,No,Yes,Yes,Allahabad,MadhyaPradesh,AndhraPradesh,Allahabad,NA
Faiz Alam Khan,Male,1963-01-26T00:00:00Z,NA,NA,2018-11-22T00:00:00Z,2025-01-25T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ganga Prasad Srivastava,Male,1946-02-01T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2008-01-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1965 FROM ALLAHABAD UNIVERSITY AND PASSED LLB FROM ALLAHABAD UNIVERSITY IN THE YEAR 1967,Allahabad University,Arts,Allahabad University,1967,NA,NA,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Gautam Chowdhary,Male,1964-11-09T00:00:00Z,NA,NA,2019-12-12T00:00:00Z,2026-11-08T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Allahabad University,Arts,Allahabad University,1989,1993,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Gandikota Sri Devi,Female,1960-10-10T00:00:00Z,Uttar Pradesh,NA,2018-11-22T00:00:00Z,2022-10-09T00:00:00Z,No,No,Allahabad,Yes,Telangana,2019-05-14T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,NA,1986,NA,NA,No,No,No,Allahabad,Allahabad,Telangana,NA,NA
Ghanshyam Dass,Male,1942-08-07T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2004-08-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,PASSED LLB IN THE YEAR 1966 AND M.A IN THE YEAR 1968 FROM AGRA UNIVERSITY,Agra University,NA,AGRA UNIVERSITY,1966,NA,NA,No,Yes,No,Allahabad,Allahabad,NA,NA,NA
Gopal Gupta,Male,1943-11-11T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2005-11-10T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1961 FROM LUCKNOW UNIVERSITY AND PASSED LLB IN THE YEAR 1963 FROM LUCKNOW UNIVERSITY,Lucknow University,Arts,LUCKNOW UNIVERSITY,1963,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Harsh Kumar,Male,1958-03-30T00:00:00Z,Uttar Pradesh,NA,2014-02-03T00:00:00Z,2020-03-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,1979,1980,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Het Singh Yadav,Male,1952-12-01T00:00:00Z,Uttar Pradesh,NA,2012-04-17T00:00:00Z,2014-11-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Agra University,1976,1977,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Huluvadi G Ramesh,Male,1957-05-20T00:00:00Z,Karnataka,NA,2003-09-08T00:00:00Z,2019-05-19T00:00:00Z,No,No,Karnataka,Yes,Allahabad,2015-02-16T00:00:00Z,Madras,2016-04-11T00:00:00Z,Madhya Pradesh,2018-11-15T00:00:00Z,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1981,Karnantaka,No,No,Yes,Allahabad,Karnataka,Allahabad,Madras,MadhyaPradesh
I. P. Vasishtha,Male,NA,NA,NA,1994-06-20T00:00:00Z,NA,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,PunjabandHaryana,Allahabad,NA,NA
Ifaqat Khan,Male,1957-05-25T00:00:00Z,Uttar Pradesh,NA,2017-07-07T00:00:00Z,2019-05-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Aligarh Muslim University,1978,NA,NA,No,No,Yes,Allahabad,Allahabad,NA,NA,NA
Ikram-ul-Bari,Male,NA,NA,NA,1999-02-05T00:00:00Z,2001-02-16T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,Allahabad,NA,NA,NA
Imtiyaz Murtaza,Male,1953-03-02T00:00:00Z,Uttar Pradesh,NA,2001-11-12T00:00:00Z,2015-03-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED LAW FROM ALLAHABAD UNIVERSITY,Allahabad University,NA,ALLAHABAD UNIVERSITY,1980,1980,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Irshad Ali,Male,1964-12-12T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2026-12-11T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1988,1989,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Ishrat Masroor Quddusi,Male,1950-06-18T00:00:00Z,NA,NA,1995-04-18T00:00:00Z,2012-06-17T00:00:00Z,No,No,Allahabad,Yes,Orissa,2004-12-06T00:00:00Z,Chhattisgarh,2010-03-26T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1976,Uttar Pradesh,No,No,No,Allahabad,Allahabad,Orissa,Chhattisgarh,NA
Jag Mohan Paliwal,Male,1946-01-01T00:00:00Z,Uttar Pradesh,NA,2005-02-07T00:00:00Z,2007-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Jagdish Bhalla,Male,1948-11-01T00:00:00Z,NA,NA,1995-04-05T00:00:00Z,2010-11-01T00:00:00Z,No,No,Allahabad,Yes,Chhatisgarh,2007-05-18T00:00:00Z,NA,NA,NA,NA,Yes,Himachal Pradesh,Rajasthan,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,1968,1971,Uttar Pradesh,No,No,No,Allahabad,Allahabad,Chhattisgarh,NA,NA
Jagdish Chandra Gupta,Male,1940-08-27T00:00:00Z,NA,NA,1996-03-22T00:00:00Z,2002-08-27T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Jagdish Mishra,Male,NA,NA,NA,1996-03-22T00:00:00Z,2000-06-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad,Allahabad,NA,NA,NA
Jahangir Munir,Male,1967-08-23T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2029-08-22T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,A.M.U Aligarh,1989,1990,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Janardan Sahai,Male,1947-11-16T00:00:00Z,West Bengal,NA,2001-04-24T00:00:00Z,2009-08-26T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED FROM ALLAHABAD UNIVERSITY IN 1967 WITH 1ST DIVISION AND PASSED LL.B FROM SAME UNIVERSITY IN 1970,Allahabad University,NA,ALLAHABAD UNIVERSITY,1970,1970,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Jaspreet Singh,Male,1971-08-29T00:00:00Z,NA,NA,2018-11-22T00:00:00Z,2033-08-28T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,Yes,Yes,No,NA,Lucknow University,Commerce,Lucknow University,1994,1994,Uttar Pradesh,No,No,No,Allahabad,Allahabad,NA,NA,NA
Jayant Banerji,Male,1965-01-17T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2027-01-16T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,C.M.P. Degree College,1987,1989,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Jayashree Tiwari,Female,1951-12-13T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2013-12-12T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad,Allahabad,NA,NA,NA
Joginder Singh Sidhu,Male,1937-01-30T00:00:00Z,Punjab,NA,1994-06-20T00:00:00Z,1999-01-30T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,Rajasthan,1996-10-11T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1963,NA,No,No,No,Allahabad,PunjabandHaryana,Allahabad,Rajasthan,NA
